producto_id,costo_unitario,precio_venta_unitario,cantidad_vendida,fecha_venta
P8,4.19,16.51,261,2025-05-14
P6,12.78,22.28,384,2025-01-17
P5,3.61,11.23,225,2025-01-18
P4,19.77,23.8,284,2024-01-17
P7,0.96,7.63,441,2025-03-21
P9,18.5,32.01,349,2024-01-02
P10,9.34,22.7,199,2024-12-19
P3,12.28,24.38,37,2024-05-02
P8,11.27,15.34,272,2024-05-08
P9,14.66,17.28,107,2023-08-28
P5,13.39,14.49,498,2024-08-21
P5,4.44,9.11,370,2025-01-29
P11,1.2,10.66,309,2024-07-26
P1,0.92,2.31,208,2025-02-28
P14,5.16,17.48,390,2024-01-13
P8,12.51,25.88,427,2023-07-12
P13,1.03,4.22,146,2023-09-12
P11,4.58,8.46,268,2025-03-17
P7,9.75,14.59,486,2024-04-12
P9,4.06,11.65,304,2024-10-29
P7,3.92,14.94,104,2024-01-20
P7,5.91,6.58,492,2024-12-06
P3,15.28,28.32,327,2025-02-22
P1,11.86,23.66,489,2025-05-15
P5,8.85,20.29,207,2024-12-03
P10,13.28,24.42,10,2025-01-22
P2,2.24,5.01,322,2023-11-20
P11,17.55,24.18,437,2025-01-11
P14,19.44,22.01,135,2023-10-22
P13,5.44,20.11,271,2023-09-08
P8,3.0,7.59,462,2024-09-29
P2,12.8,24.19,241,2024-10-09
P1,17.96,26.51,379,2024-05-18
P3,13.93,19.01,425,2024-05-24
P11,15.21,19.7,400,2025-05-08
P7,5.47,15.02,383,2025-02-27
P7,0.23,10.96,90,2025-04-21
P10,0.63,10.48,188,2023-08-14
P1,12.03,26.02,314,2024-09-19
P10,5.43,7.97,212,2024-10-22
P9,13.01,26.77,401,2024-01-19
P7,9.54,13.26,103,2024-09-19
P7,19.91,25.88,321,2023-09-25
P11,2.39,12.0,396,2024-04-08
P3,12.67,17.48,466,2024-08-31
P1,4.75,11.82,180,2024-09-21
P4,15.67,26.4,429,2023-06-22
P6,17.41,22.96,53,2023-10-23
P7,14.8,22.06,252,2024-09-06
P9,0.18,10.36,457,2025-01-01
P13,1.21,5.26,434,2024-12-16
P14,4.47,8.71,466,2024-01-16
P9,0.8,11.83,344,2024-09-24
P8,17.06,25.29,84,2023-08-13
P3,15.99,29.33,275,2024-02-24
P9,18.38,23.84,110,2024-05-14
P6,1.47,12.36,298,2024-09-20
P5,10.65,19.13,107,2024-11-29
P3,12.2,23.46,69,2023-12-04
P13,3.46,8.55,2,2024-08-04
P12,4.04,12.13,334,2024-10-28
P11,17.54,21.02,312,2023-10-05
P9,11.29,18.8,388,2023-07-21
P14,15.5,28.91,462,2024-08-02
P11,15.88,19.26,131,2024-06-11
P9,6.15,6.93,490,2023-08-15
P10,14.95,19.73,175,2023-08-25
P5,7.45,19.51,314,2024-10-05
P9,19.53,29.22,199,2024-12-17
P4,3.96,15.41,245,2024-02-01
P7,10.17,13.94,436,2025-03-07
