fecha_venta,producto_id,categoria_producto,cantidad_vendida,precio_venta_unitario,cliente_id,canal_venta
2024-02-11,P3,tela,10,2.47,C124,online
2024-10-09,P9,hilo,85,22.26,C164,online
2024-06-16,P4,tela,44,19.0,C148,online
2024-09-21,P12,cierres,208,3.12,C177,distribuidor
2025-01-19,P13,encaje,247,13.48,C104,tienda física
2023-10-17,P14,encaje,166,15.24,C163,distribuidor
2024-04-17,P6,botón,102,15.17,C199,online
2023-08-01,P8,hilo,127,14.76,C175,distribuidor
2024-06-17,P4,tela,19,5.74,C12,distribuidor
2024-04-18,P7,botón,234,18.22,C101,tienda física
2024-10-11,P12,cierres,65,26.29,C171,online
2025-05-04,P7,botón,225,26.85,C14,tienda física
2024-04-25,P4,tela,159,8.47,C105,online
2025-04-29,P1,tela,254,15.21,C95,online
2023-11-10,P1,tela,72,8.36,C53,distribuidor
2024-01-21,P9,hilo,103,0.21,C191,distribuidor
2024-04-18,P11,cierres,179,24.39,C121,distribuidor
2024-10-18,P12,cierres,254,11.26,C83,tienda física
2024-12-10,P10,hilo,108,26.31,C2,tienda física
2023-07-29,P10,hilo,138,6.89,C1,tienda física
2024-08-10,P8,hilo,164,28.56,C98,online
2024-10-04,P11,cierres,155,10.21,C34,tienda física
2025-04-04,P3,tela,205,21.58,C56,online
2024-09-26,P1,tela,151,14.92,C79,tienda física
2024-11-22,P8,hilo,178,1.93,C98,online
2024-07-12,P8,hilo,55,26.67,C191,online
2025-05-23,P9,hilo,159,14.68,C186,distribuidor
2024-07-14,P14,encaje,159,11.65,C15,online
2024-01-06,P14,encaje,25,21.77,C45,online
2023-07-29,P1,tela,289,11.39,C98,tienda física
2024-09-17,P2,tela,143,19.66,C86,tienda física
2023-11-15,P14,encaje,149,12.54,C169,tienda física
2024-05-22,P13,encaje,113,29.01,C99,online
2024-01-30,P8,hilo,75,10.64,C164,tienda física
2025-03-25,P10,hilo,299,5.8,C11,online
2024-03-06,P13,encaje,230,4.22,C145,tienda física
2025-03-01,P6,botón,31,11.64,C194,distribuidor
2024-12-30,P2,tela,192,29.06,C113,distribuidor
2024-07-02,P3,tela,264,0.89,C137,distribuidor
2025-05-27,P7,botón,125,28.93,C171,tienda física
2023-12-06,P8,hilo,293,13.12,C40,online
2024-12-14,P5,botón,265,11.92,C173,distribuidor
2024-07-24,P8,hilo,174,3.92,C22,online
2024-07-26,P14,encaje,189,15.33,C190,distribuidor
2023-12-03,P8,hilo,150,14.12,C108,online
2024-08-26,P13,encaje,114,18.98,C8,online
2024-05-26,P6,botón,107,22.92,C197,distribuidor
2025-02-09,P12,cierres,196,2.47,C63,tienda física
2023-07-23,P4,tela,43,9.95,C38,online
2024-04-14,P2,tela,103,2.1,C169,tienda física
2023-08-25,P11,cierres,295,8.72,C139,distribuidor
2024-02-08,P10,hilo,265,26.09,C96,tienda física
2024-12-09,P8,hilo,138,28.67,C112,online
2024-09-23,P4,tela,79,6.31,C199,distribuidor
2025-01-03,P9,hilo,176,28.25,C41,distribuidor
2024-01-16,P1,tela,62,29.38,C164,tienda física
2024-09-08,P3,tela,20,12.92,C80,distribuidor
2024-02-17,P13,encaje,214,22.23,C89,tienda física
2025-02-27,P1,tela,12,25.76,C64,tienda física
2024-05-17,P12,cierres,24,0.61,C33,tienda física
2025-03-06,P3,tela,42,21.25,C194,tienda física
2024-01-24,P13,encaje,130,8.07,C31,online
2024-08-16,P12,cierres,218,17.48,C47,online
2024-06-28,P5,botón,61,18.42,C128,tienda física
2024-09-06,P6,botón,76,0.39,C148,distribuidor
2024-11-23,P4,tela,207,3.26,C44,distribuidor
2024-07-21,P14,encaje,224,20.02,C128,distribuidor
2024-11-12,P6,botón,273,20.0,C139,distribuidor
2025-01-14,P8,hilo,73,13.43,C165,tienda física
2024-09-07,P7,botón,205,14.47,C33,tienda física
2025-02-04,P2,tela,278,27.58,C92,online
2024-05-15,P9,hilo,135,28.5,C135,distribuidor
2024-04-22,P7,botón,1,11.02,C69,tienda física
2024-08-09,P3,tela,142,18.91,C151,tienda física
2024-12-24,P4,tela,245,8.82,C147,online
2025-03-27,P3,tela,39,10.77,C145,tienda física
2024-04-18,P4,tela,130,1.62,C177,online
2025-03-04,P12,cierres,243,26.85,C185,tienda física
2025-01-18,P6,botón,236,26.77,C141,tienda física
2024-01-05,P5,botón,248,12.06,C33,distribuidor
2023-07-26,P5,botón,296,26.6,C178,online
2023-11-18,P2,tela,174,13.79,C37,online
2024-08-29,P10,hilo,66,21.22,C192,distribuidor
2024-03-19,P9,hilo,147,18.04,C179,tienda física
2023-07-31,P12,cierres,284,13.13,C37,tienda física
2024-08-21,P11,cierres,212,2.64,C129,distribuidor
2024-03-02,P6,botón,214,24.73,C166,online
2023-09-19,P13,encaje,122,14.12,C42,distribuidor
2024-06-05,P9,hilo,68,8.19,C108,online
2024-02-22,P3,tela,213,9.56,C123,distribuidor
2024-09-29,P10,hilo,186,5.73,C3,online
2024-12-10,P13,encaje,105,5.99,C172,tienda física
2023-09-29,P10,hilo,108,25.73,C140,online
2025-02-08,P10,hilo,178,29.15,C121,online
2023-09-16,P8,hilo,22,20.43,C121,online
2025-02-13,P1,tela,242,9.53,C37,tienda física
2023-08-06,P11,cierres,54,23.16,C62,online
2024-12-15,P8,hilo,63,6.94,C69,online
2024-02-24,P8,hilo,101,10.38,C112,online
2024-03-30,P9,hilo,73,14.81,C142,distribuidor
2024-06-01,P11,cierres,135,29.5,C80,distribuidor
